Target Word,Notes,Definitions,Tags
寝不足,ねぶそく,lack of sleep or sleep deprivation,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
電子機器,でんしきき,electronic devices,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
電化製品,でんかせいひん,electrical appliances,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
違和感,いわかん,a sense of discomfort or a feeling that something is wrong,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
建設業,けんせつぎょう,the construction industry,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
大きな夢,おおきなゆめ,a big dream or a great dream,JA::ITALKI::NAOKO::29.10.2024::名詞 JA::ITALKI::NAOKO::名詞
年を取る,としをとる,to grow older or to age,JA::ITALKI::NAOKO::29.10.2024::動詞 JA::ITALKI::NAOKO::動詞
世話をする,せわをする,to take care of or to look after,JA::ITALKI::NAOKO::29.10.2024::動詞 JA::ITALKI::NAOKO::動詞
乗り越える,のりこえる,to overcome or to get over,JA::ITALKI::NAOKO::29.10.2024::動詞 JA::ITALKI::NAOKO::動詞
無事に誕生日を迎えられることはうれしいこと,ぶじにたんじょうびをむかえられることはうれしいこと,It is a happy thing to be able to celebrate my birthday safely,JA::ITALKI::NAOKO::29.10.2024::表現 JA::ITALKI::NAOKO::表現
ドイツに来たばかりの時はどうだった,ドイツにきたばかりのときはどうだった,How was it when you just came to Germany,JA::ITALKI::NAOKO::29.10.2024::表現 JA::ITALKI::NAOKO::表現
によると10年前です10,フェイスブックによるとじゅうねんまえです,Facebook According to Facebook it was years ago,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
他の人にびっくりしてほしいと思っています,ほかのひとにびっくりしてほしいとおもっています,I want to surprise other people,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
簡単な言葉しかわからなかった,かんたんなことばしかわからなかった,I could only understand simple words,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
大変な時期を乗り越える,たいへんなじきをのりこえる,to overcome a difficult time,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
アメリカの生活から逃げたかった,アメリカのせいかつからにげたかった,I wanted to escape life in America,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
違和感があった,いわかんがあった,There was a sense of discomfort,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
誰も歳を取りたいと思っていない,だれもとしをとりたいとおもっていない,No one wants to grow older,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
赤ちゃんのお世話をする,あかちゃんのおせわをする,to take care of a baby,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
今日は寝不足です,きょうはねぶそくです,I m sleepdeprived today,JA::ITALKI::NAOKO::29.10.2024::例文 JA::ITALKI::NAOKO::例文
