変顔,へんがお,funny face,JA::ITALKI::NAOKO::21.07.2024::名詞
生命保険,せいめいほけん,Life insurance,JA::ITALKI::NAOKO::21.07.2024::名詞
今週の出来事,できごと,,JA::ITALKI::NAOKO::21.07.2024::名詞
(エムシー）,,MC host of a TV show etc,JA::ITALKI::NAOKO::21.07.2024::名詞
司会者(,しかいしゃ,host of a TV show etc,JA::ITALKI::NAOKO::21.07.2024::名詞
会場,かいじょう,Venue,JA::ITALKI::NAOKO::21.07.2024::名詞
違法,いほう,legal,JA::ITALKI::NAOKO::21.07.2024::名詞
合法,ごうほう,illegal,JA::ITALKI::NAOKO::21.07.2024::名詞
競馬,けいば,horse racing,JA::ITALKI::NAOKO::21.07.2024::名詞
賭博,とばく,gambling,JA::ITALKI::NAOKO::21.07.2024::名詞
確実じゃない,かくじつ,certain definite,JA::ITALKI::NAOKO::21.07.2024::形容詞
癒す,いやす,to cure,JA::ITALKI::NAOKO::21.07.2024::動詞
心に刺さる,ささる,to resonate emotionally to hurt someone emotionally,JA::ITALKI::NAOKO::21.07.2024::動詞
投票する,とうひょう,to vote,JA::ITALKI::NAOKO::21.07.2024::動詞
かける,,to bet,JA::ITALKI::NAOKO::21.07.2024::動詞
お金がなくなる,,to lose money,JA::ITALKI::NAOKO::21.07.2024::動詞
年をとることは当たり前のことじゃない,,,JA::ITALKI::NAOKO::21.07.2024::例文
カジノがしまった,,,JA::ITALKI::NAOKO::21.07.2024::例文
赤ちゃんを見ていやされました,,,JA::ITALKI::NAOKO::21.07.2024::例文
猫に癒されます,,,JA::ITALKI::NAOKO::21.07.2024::例文
年に一度の美少女,びしょうじょ,,JA::ITALKI::NAOKO::21.07.2024::表現
美女,びじょ,,JA::ITALKI::NAOKO::21.07.2024::表現
